Episode,Average Discounted Return,Standard Error
0,0.656637,0.198086
1,0.228825,0.043968
2,0.669913,0.165755
3,0,0
4,0.476744,0.127906
5,0.409589,0.302502
6,0.350778,0.324962
7,0.576287,0.124032
8,0.293373,0.155886
9,0.909667,0.0903333
10,0.323332,0.189435
11,0.66914,0.14086
12,0.246862,0.177193
13,0.644964,0.233059
14,0.436747,0.29106
15,0.374604,0.235794
16,0.673977,0.11429
17,0.0847289,0.0847289
18,0.340319,0.176318
19,0.776822,0.175567
20,0.00608267,0.00608267
21,0.480414,0.286655
22,0.223283,0.115683
23,0.402432,0.213835
24,0.250509,0.239334
25,1,0
26,0.19683,0.19683
27,0.655591,0.244409
28,0.0715685,0.043468
29,0.6,0.3
30,0.355591,0.276429
31,0.427477,0.297646
32,0.59393,0.26236
33,0.33863,0.243064
34,0.553078,0.230922
35,0.0127173,0.0127173
36,0.0941432,0.0941432
37,0.347546,0.0932432
38,0.347531,0.326256
39,0.0617673,0.0617673
40,0.933333,0.0333333
41,0.476822,0.289604
42,0.447147,0.237595
43,0.533291,0.255065
44,0.602065,0.24683
45,0.418658,0.157159
46,0.305473,0.213106
47,0.0476468,0.043778
48,0.46683,0.241863
49,0.149734,0.0819742
50,0.0686304,0.0686304
51,0.863497,0.136503
52,0.6,0.3
53,0.086557,0.0716629
54,0.262734,0.196842
55,0.646256,0.210355
56,0.675938,0.324062
57,0.435427,0.0480068
58,0.432332,0.149329
59,0.0617673,0.0617673
60,0.154635,0.0906178
61,0.27129,0.153515
62,0.39366,0.19683
63,0.0686304,0.0686304
64,0.705473,0.177227
65,0.666667,0.333333
66,0.19683,0.19683
67,0.54,0.27
68,0.0239299,0.0239299
69,0.076256,0.076256
70,0.415513,0.293321
71,0.265503,0.136414
72,0.46683,0.241863
73,0.350032,0.278377
74,0.2587,0.235543
75,0.293858,0.15543
76,0.327729,0.213633
77,0.606579,0.102861
78,0.238083,0.209681
79,0.46683,0.241863
80,0.12914,0.12914
81,0.204461,0.142363
82,0.27,0.27
83,0.395158,0.264993
84,0.159432,0.159432
85,0.333333,0.333333
86,0.6,0.3
87,0,0
88,0.68553,0.0650532
89,0.0328257,0.0328257
90,0.532383,0.238267
91,0.666667,0.333333
92,0.42339,0.288305
93,0.15307,0.118994
94,0.286978,0.143489
95,0.104604,0.104604
96,0.3,0.3
97,0.247434,0.240813
98,0.0157004,0.0157004
99,0.49683,0.263994
100,0.368174,0.223492
101,0.184731,0.112199
102,0.310301,0.294984
103,0.383874,0.228499
104,0.503732,0.248617
105,0.0794002,0.038846
106,0.533291,0.255065
107,0.209207,0.104604
108,0.502715,0.11558
109,0.104604,0.104604
110,0.666667,0.333333
111,0.629922,0.280493
112,0,0
113,0.00020886,0.00020886
114,0.335892,0.240277
115,0.213869,0.113641
116,0.0941432,0.0941432
117,0.524987,0.0776282
118,0.173234,0.0920492
119,0.187448,0.172228
120,0.644604,0.165396
