Episode,Average Discounted Return,Standard Error
4,-3485.44,175.007
9,-2125.6,77.672
14,-1600.82,78.3721
19,-1375.77,59.9055
24,-1152.42,38.9115
29,-1022.7,37.1949
34,-834.41,30.7771
39,-775.86,27.9172
44,-696.5,26.949
49,-629.22,26.2593
54,-547.65,25.9739
59,-461.07,19.2369
64,-440.76,20.6125
69,-405.56,16.9421
74,-341.83,11.5368
79,-318.58,15.2472
84,-316.01,10.7194
89,-277.48,8.65331
94,-249.62,7.98187
99,-257.87,8.7532
104,-243.4,7.03137
109,-233.62,8.0263
114,-226.27,7.75371
119,-226.14,7.79395
124,-221.32,5.63248
129,-225.08,6.05119
134,-225.35,6.61146
139,-224.55,6.10013
144,-218.05,5.63946
149,-215.8,5.3094
154,-226.24,5.75754
159,-216.24,5.36084
164,-221.54,5.83172
169,-232.15,5.69532
174,-238.26,6.33054
179,-225.26,6.40845
184,-227.39,6.33972
189,-221.69,5.51072
194,-224.22,5.2138
199,-225.76,6.12488
204,-232.27,7.09484
209,-229.44,6.07542
214,-230.8,5.53795
219,-235.36,5.95301
224,-230.81,5.40945
229,-243.62,7.24191
234,-245.11,6.292
239,-243.03,6.77788
244,-242.87,6.08558
249,-252.13,6.98529
254,-240.79,6.48983
259,-245.72,5.69205
264,-251.43,6.74835
269,-259.27,8.31985
274,-251.75,6.40207
279,-251,5.5436
284,-245.77,5.94007
289,-269.19,5.96648
294,-260.11,6.35972
299,-256.23,5.46543
304,-257.86,5.70247
309,-252,5.80209
314,-267.9,5.77521
319,-260.12,6.10926
324,-270.1,6.56564
329,-263.94,6.31648
334,-256.57,6.28196
339,-261.84,6.04182
344,-252.56,4.69432
349,-248.95,4.91031
354,-254.53,6.68791
359,-256.81,6.17813
364,-247.07,5.96771
369,-247.18,5.92958
374,-244,5.25219
379,-239.45,5.00372
384,-241.91,5.24857
389,-233.52,5.46509
394,-246.75,6.06398
399,-231.95,6.22787
404,-239.31,6.13194
409,-227.98,4.69272
414,-215.22,4.34682
419,-214.88,4.58225
424,-214.49,4.53234
429,-224.87,4.78235
434,-204.11,5.05173
439,-203.57,6.20258
444,-210.04,4.99549
449,-204.81,4.74605
454,-199.35,5.50372
459,-193.6,4.6961
464,-197.95,5.64148
469,-197.2,5.51554
474,-191.48,5.36179
479,-189.07,5.2766
484,-189.57,4.40196
489,-179.28,4.72355
494,-179.22,6.5169
499,-180.75,4.17224
504,-170.7,3.94104
509,-171.32,3.75419
