Episode,Average Discounted Return,Standard Error
0,0.499167,0.156933
1,0.545777,0.2005
2,0.553078,0.230922
3,0.333819,0.333091
4,0.711695,0.288305
5,0.81048,0.142475
6,0.506366,0.265813
7,0.101456,0.0594543
8,0.531756,0.0934777
9,0.347719,0.0652891
10,0.577725,0.297254
11,0.523403,0.167835
12,0.2344,0.211288
13,0.508914,0.180686
14,0.217673,0.160762
15,0,0
16,0.353582,0.135386
17,0.281751,0.154249
18,0.173563,0.152858
19,0.605189,0.0898599
20,0.680797,0.319203
21,0.216973,0.135752
22,0.668259,0.188119
23,0.256453,0.201279
24,0.362876,0.319588
25,0.334926,0.189525
26,0.469209,0.22433
27,0.149052,0.103783
28,0.633333,0.31798
29,0.303484,0.29826
30,0.443489,0.259889
31,0.0583754,0.0464254
32,0.605189,0.0898599
33,0.340526,0.28193
34,0.269811,0.196067
35,0.2187,0.2187
36,0.0580099,0.0317585
37,0.0692987,0.034793
38,0.450115,0.276678
39,0.133574,0.126981
40,0.81,0
41,0.321537,0.289832
42,0.189332,0.0962182
43,0.42914,0.260644
44,0.106338,0.0661678
45,0.477147,0.261222
46,0.361162,0.123288
47,0.44748,0.256493
48,0.597369,0.206839
49,0.508466,0.275491
50,0.2187,0.2187
51,0.036473,0.036473
52,0.143489,0.143489
53,0.603429,0.188281
54,0.288572,0.146652
55,0.100679,0.0771922
56,0.485402,0.0587287
57,0.177147,0.177147
58,0.161966,0.116257
59,0.104604,0.104604
60,0.592559,0.255561
61,0.104604,0.104604
62,0.125254,0.0734004
63,0.404604,0.263744
64,0.876333,0.0791209
65,0.243,0.243
66,0.36863,0.272252
67,0.19683,0.19683
68,0.337768,0.331138
69,0.386354,0.0725435
70,0.331767,0.245027
71,0.51048,0.288865
72,0.338132,0.0969327
73,0.413489,0.233981
74,0.63962,0.184924
75,0.285097,0.222887
76,0.468747,0.170867
77,0.243775,0.0550948
78,0.762473,0.189735
79,0.152512,0.076256
80,0.333333,0.333333
81,0.27,0.27
82,0.104604,0.104604
83,0.41553,0.208627
84,0.0847289,0.0847289
85,0.795807,0.204193
86,0.274291,0.196882
87,0.333333,0.333333
88,0.633333,0.31798
89,0.3157,0.292466
90,0.275826,0.228363
91,0.25713,0.236252
92,0.447147,0.237595
93,0.27,0.27
94,0.364143,0.23737
95,0.462473,0.291104
96,0.303626,0.144163
97,0.580526,0.229474
98,0.135415,0.0538026
99,0.0974462,0.0791403
100,0.515366,0.147741
101,0.157619,0.136972
102,0.245777,0.154705
103,0.75348,0.135814
104,0.437484,0.253819
105,0.42914,0.260644
106,0.713489,0.143876
107,0.603333,0.306612
108,0.373977,0.187764
109,0.347226,0.326439
110,0.00290932,0.00290932
111,0.610843,0.299227
112,0.0103011,0.0103011
113,0.144886,0.0727436
114,0.191985,0.169976
115,0.333333,0.333333
116,0.373977,0.187764
117,0.477147,0.261222
118,0.369806,0.316676
119,0.482621,0.256232
120,0.0500315,0.0500315
121,0.395007,0.30552
122,0.56897,0.0991908
123,0.810156,0.189844
124,0.335444,0.283488
125,0.607624,0.24175
126,0.530163,0.290247
127,0.646389,0.190086
128,0.578454,0.296551
129,0,0
130,0.409589,0.302502
131,0.0141304,0.0141304
132,0.470594,0.264703
133,0.273263,0.129747
134,0.0688897,0.0312896
135,0.13665,0.125554
136,0.12914,0.12914
137,0.177147,0.177147
138,0.747147,0.110938
139,0.333333,0.333333
140,0.762766,0.152443
141,0.294956,0.192269
142,0.160733,0.090173
143,0.576333,0.298597
144,0.476822,0.289604
145,0.304767,0.218757
146,0.634926,0.159505
147,0.245366,0.123192
148,0.513,0.257564
149,0.26693,0.231963
150,0.544291,0.193917
151,0.0830145,0.0731114
152,0.873333,0.0633333
153,0.355591,0.276429
154,0.776822,0.175567
155,0.276977,0.227055
156,0.217974,0.114424
157,0.0532429,0.0358981
158,0.437937,0.295271
159,0.28733,0.193728
160,0.586736,0.224346
161,0.522175,0.22086
162,0.36863,0.272252
163,0.144503,0.142985
164,0.427477,0.297646
165,0.553078,0.230922
166,0.342604,0.328796
167,0.150248,0.140232
168,0.31163,0.216984
169,0.00779597,0.00737039
170,0.354729,0.23917
171,0.275658,0.142818
172,0.156752,0.10218
173,0.605963,0.19741
174,0.476822,0.289604
175,0.292019,0.221362
176,0.333333,0.333333
177,0,0
178,0.444923,0.0801968
179,0.288375,0.0713522
180,0.076256,0.076256
181,0.966667,0.0333333
182,0.0990701,0.0917789
183,0,0
184,0.306473,0.253737
185,0.620311,0.189844
186,0.673859,0.277646
187,0.515407,0.284521
188,0.273748,0.268127
189,0.531756,0.0934777
190,0.530163,0.290247
191,0.603333,0.306612
192,0.593778,0.281798
193,0.449559,0.293049
194,0.338808,0.33063
195,0.732473,0.181035
196,0.684729,0.215271
197,0.104604,0.104604
198,0.334926,0.189525
199,0.229656,0.182643
200,0.2187,0.2187
201,0.193811,0.0482282
202,0.243,0.243
203,0.366159,0.318193
204,0.318865,0.159432
205,0.3,0.3
206,0.513,0.257564
207,0.552572,0.29282
208,0.294956,0.192269
209,0.0839534,0.0726843
210,0.729432,0.128227
211,0.177147,0.177147
212,0.290973,0.170513
213,0.198747,0.0997854
214,0.274061,0.0198747
215,0.492766,0.288766
216,0.636255,0.182396
