Episode,Average Discounted Return,Standard Error
0,1,0
1,1,0
2,0.666667,0.333333
3,0.666667,0.333333
4,1,0
5,1,0
6,0.666667,0.333333
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,0.666667,0.333333
13,1,0
14,0.666667,0.333333
15,0.666667,0.333333
16,0.666667,0.333333
17,0.666667,0.333333
18,0.666667,0.333333
19,0.666667,0.333333
20,0.333333,0.333333
21,0.333333,0.333333
22,1,0
23,0.666667,0.333333
24,1,0
25,0.666667,0.333333
26,0.333333,0.333333
27,0.333333,0.333333
28,1,0
29,0.333333,0.333333
30,0.666667,0.333333
31,0.666667,0.333333
32,0.333333,0.333333
33,1,0
34,1,0
35,1,0
36,0.333333,0.333333
37,0.666667,0.333333
38,1,0
39,1,0
40,0.666667,0.333333
41,0,0
42,0.666667,0.333333
43,1,0
44,1,0
45,0.666667,0.333333
46,0.333333,0.333333
47,0.333333,0.333333
48,1,0
49,0.666667,0.333333
50,0.666667,0.333333
51,1,0
52,1,0
53,0.666667,0.333333
54,0.666667,0.333333
55,1,0
56,0.333333,0.333333
57,0.666667,0.333333
58,0.666667,0.333333
59,1,0
60,0.333333,0.333333
61,0.666667,0.333333
62,1,0
63,0.666667,0.333333
64,1,0
65,0.333333,0.333333
66,0.666667,0.333333
67,0.333333,0.333333
68,0.666667,0.333333
69,0.666667,0.333333
70,0.666667,0.333333
71,0.666667,0.333333
72,1,0
73,0.666667,0.333333
74,0.333333,0.333333
75,0.666667,0.333333
76,0.666667,0.333333
77,0.333333,0.333333
78,1,0
79,0.333333,0.333333
80,0.333333,0.333333
81,1,0
82,1,0
83,0.666667,0.333333
84,1,0
85,1,0
86,0.666667,0.333333
87,0.666667,0.333333
88,1,0
89,0.666667,0.333333
90,1,0
91,0.333333,0.333333
92,0.666667,0.333333
93,0.666667,0.333333
94,0.333333,0.333333
95,1,0
96,1,0
97,0.666667,0.333333
98,0.333333,0.333333
99,1,0
100,1,0
101,0.333333,0.333333
102,1,0
103,0.666667,0.333333
104,0.666667,0.333333
105,0.333333,0.333333
106,0.333333,0.333333
107,1,0
108,0.333333,0.333333
109,1,0
110,1,0
111,0.333333,0.333333
112,0.666667,0.333333
113,0.666667,0.333333
114,0.333333,0.333333
115,0.666667,0.333333
116,0.666667,0.333333
117,0.333333,0.333333
118,0.666667,0.333333
119,0.666667,0.333333
120,0.666667,0.333333
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,0.666667,0.333333
