Episode,Average Discounted Return,Standard Error
0,1,0
1,0.666667,0.333333
2,0.666667,0.333333
3,0,0
4,1,0
5,0.333333,0.333333
6,0.666667,0.333333
7,1,0
8,0.666667,0.333333
9,0.333333,0.333333
10,0.666667,0.333333
11,0.666667,0.333333
12,1,0
13,0.666667,0.333333
14,0.666667,0.333333
15,1,0
16,0.666667,0.333333
17,0.666667,0.333333
18,1,0
19,0.666667,0.333333
20,0.666667,0.333333
21,1,0
22,1,0
23,0.333333,0.333333
24,0.333333,0.333333
25,1,0
26,0.333333,0.333333
27,1,0
28,0.333333,0.333333
29,1,0
30,1,0
31,0.666667,0.333333
32,1,0
33,0.333333,0.333333
34,1,0
35,0.333333,0.333333
36,1,0
37,1,0
38,0.666667,0.333333
39,0.666667,0.333333
40,0.666667,0.333333
41,0.333333,0.333333
42,0.666667,0.333333
43,0.666667,0.333333
44,0,0
45,0,0
46,1,0
47,0.333333,0.333333
48,1,0
49,0.666667,0.333333
50,1,0
51,1,0
52,1,0
53,0.666667,0.333333
54,0.666667,0.333333
55,1,0
56,1,0
57,0.333333,0.333333
58,0.333333,0.333333
59,0.333333,0.333333
60,0.666667,0.333333
61,0.666667,0.333333
62,0.333333,0.333333
63,0.333333,0.333333
64,1,0
65,0.666667,0.333333
66,0.666667,0.333333
67,0.333333,0.333333
68,1,0
69,1,0
70,1,0
71,1,0
72,0.666667,0.333333
73,1,0
74,1,0
75,0.666667,0.333333
76,1,0
77,0.666667,0.333333
78,0.666667,0.333333
79,0.666667,0.333333
80,0.666667,0.333333
81,0.666667,0.333333
82,1,0
83,0.666667,0.333333
84,1,0
85,1,0
86,0.333333,0.333333
87,1,0
88,0.666667,0.333333
89,0.333333,0.333333
90,0.333333,0.333333
91,0.333333,0.333333
92,1,0
93,0.666667,0.333333
94,0.333333,0.333333
95,0.666667,0.333333
96,1,0
97,0.666667,0.333333
98,1,0
99,1,0
100,1,0
101,0.666667,0.333333
102,1,0
103,0.666667,0.333333
104,0.333333,0.333333
105,1,0
106,1,0
107,1,0
108,0.666667,0.333333
109,1,0
110,1,0
111,1,0
112,0.666667,0.333333
113,1,0
114,1,0
115,0.333333,0.333333
116,0.333333,0.333333
117,0.666667,0.333333
118,0.333333,0.333333
119,1,0
120,1,0
121,0.666667,0.333333
122,1,0
123,0.666667,0.333333
124,1,0
125,0.666667,0.333333
126,0.666667,0.333333
127,0.333333,0.333333
128,0.666667,0.333333
129,0.333333,0.333333
130,1,0
131,0.666667,0.333333
132,0.666667,0.333333
133,0.666667,0.333333
134,0.666667,0.333333
135,0.333333,0.333333
136,0.666667,0.333333
137,0.666667,0.333333
138,0.666667,0.333333
139,1,0
140,1,0
141,0.666667,0.333333
142,0.666667,0.333333
143,1,0
144,0.666667,0.333333
145,1,0
146,0.666667,0.333333
147,0.666667,0.333333
148,0.666667,0.333333
149,0.333333,0.333333
150,0.333333,0.333333
151,0.666667,0.333333
152,0.666667,0.333333
153,0.666667,0.333333
154,0.666667,0.333333
155,0.666667,0.333333
156,0.666667,0.333333
157,0.333333,0.333333
158,0.666667,0.333333
159,1,0
160,0.666667,0.333333
161,0.333333,0.333333
162,0.666667,0.333333
163,1,0
164,1,0
165,0.666667,0.333333
166,0.666667,0.333333
167,1,0
168,0.666667,0.333333
169,0.666667,0.333333
170,1,0
171,1,0
172,0.666667,0.333333
173,0.666667,0.333333
174,0.666667,0.333333
175,0.666667,0.333333
176,0.333333,0.333333
177,0.666667,0.333333
178,1,0
179,1,0
180,0.666667,0.333333
181,0.666667,0.333333
182,0.333333,0.333333
183,1,0
184,0.333333,0.333333
185,1,0
186,0.666667,0.333333
187,0.333333,0.333333
188,1,0
189,1,0
190,0,0
191,1,0
192,0.666667,0.333333
193,0.666667,0.333333
194,1,0
195,0.666667,0.333333
196,0.333333,0.333333
197,1,0
198,0.666667,0.333333
199,0.666667,0.333333
200,1,0
201,0.666667,0.333333
202,0.333333,0.333333
203,0.666667,0.333333
204,0.666667,0.333333
205,1,0
206,0.666667,0.333333
207,0.333333,0.333333
208,1,0
209,0.333333,0.333333
210,1,0
211,0.666667,0.333333
212,1,0
213,1,0
214,0.666667,0.333333
215,1,0
216,1,0
217,1,0
218,1,0
219,0.666667,0.333333
220,0.666667,0.333333
221,0.666667,0.333333
222,1,0
223,1,0
224,1,0
225,0.666667,0.333333
226,0.333333,0.333333
227,0.666667,0.333333
228,1,0
229,1,0
230,0.666667,0.333333
231,1,0
232,1,0
233,0.333333,0.333333
234,0.333333,0.333333
235,0.666667,0.333333
236,0.666667,0.333333
237,1,0
238,1,0
239,0.666667,0.333333
240,1,0
241,1,0
242,0.666667,0.333333
243,0.666667,0.333333
244,0.666667,0.333333
245,1,0
246,1,0
247,0.333333,0.333333
248,1,0
249,0.666667,0.333333
250,0.666667,0.333333
251,1,0
252,1,0
253,1,0
254,1,0
255,0.666667,0.333333
256,1,0
257,1,0
258,0.666667,0.333333
259,1,0
260,0.666667,0.333333
261,0.666667,0.333333
262,0.666667,0.333333
263,0.666667,0.333333
264,0.666667,0.333333
265,0.666667,0.333333
266,0.666667,0.333333
267,0.666667,0.333333
268,1,0
269,1,0
270,0.666667,0.333333
271,0.666667,0.333333
272,0.333333,0.333333
273,0.666667,0.333333
274,0,0
275,1,0
276,1,0
277,0.666667,0.333333
278,0.666667,0.333333
279,0.333333,0.333333
280,0.666667,0.333333
281,1,0
282,1,0
283,0.666667,0.333333
284,0.666667,0.333333
285,1,0
286,0.666667,0.333333
287,0.666667,0.333333
288,1,0
289,0.666667,0.333333
290,1,0
291,1,0
292,1,0
293,0.333333,0.333333
294,0.333333,0.333333
295,0.666667,0.333333
296,1,0
297,1,0
298,1,0
299,0.666667,0.333333
300,0.666667,0.333333
301,0.666667,0.333333
302,0.666667,0.333333
303,0.666667,0.333333
304,0.666667,0.333333
305,0,0
306,0.333333,0.333333
307,1,0
308,0.666667,0.333333
309,1,0
310,1,0
311,0.333333,0.333333
312,1,0
313,1,0
314,0.666667,0.333333
315,1,0
316,1,0
317,1,0
318,0.666667,0.333333
319,1,0
320,0.666667,0.333333
321,0.666667,0.333333
322,0.333333,0.333333
323,0.333333,0.333333
324,0.666667,0.333333
325,1,0
326,1,0
327,0.666667,0.333333
328,0.333333,0.333333
329,0.666667,0.333333
330,0.333333,0.333333
331,1,0
332,0.666667,0.333333
333,0.666667,0.333333
334,1,0
335,0.666667,0.333333
336,0.666667,0.333333
337,0.666667,0.333333
338,1,0
339,1,0
340,1,0
341,1,0
342,0.666667,0.333333
343,0.666667,0.333333
344,1,0
345,0.333333,0.333333
346,1,0
347,0.666667,0.333333
348,1,0
349,0.666667,0.333333
350,1,0
351,1,0
352,1,0
353,1,0
354,0.666667,0.333333
355,1,0
356,0.666667,0.333333
357,0.333333,0.333333
358,0.333333,0.333333
359,1,0
360,0.666667,0.333333
361,1,0
362,1,0
363,0.333333,0.333333
364,1,0
365,0.666667,0.333333
366,1,0
367,0.333333,0.333333
368,1,0
369,1,0
370,1,0
371,0.666667,0.333333
372,0.333333,0.333333
373,0.666667,0.333333
374,1,0
375,1,0
376,0.666667,0.333333
377,0.666667,0.333333
378,1,0
379,1,0
380,0.666667,0.333333
381,0.333333,0.333333
382,0.666667,0.333333
383,0.666667,0.333333
384,0.666667,0.333333
385,1,0
386,1,0
387,0.666667,0.333333
388,0.666667,0.333333
389,0.333333,0.333333
390,0.666667,0.333333
391,0.666667,0.333333
392,1,0
393,0,0
394,1,0
395,0.333333,0.333333
396,1,0
397,0.666667,0.333333
398,1,0
399,0.333333,0.333333
400,1,0
401,0.333333,0.333333
402,1,0
403,0.666667,0.333333
404,1,0
405,1,0
406,0.666667,0.333333
407,0.666667,0.333333
408,0.666667,0.333333
409,0.666667,0.333333
410,0.666667,0.333333
411,1,0
412,1,0
413,1,0
414,1,0
415,1,0
416,1,0
417,1,0
418,0.666667,0.333333
419,0.666667,0.333333
420,1,0
421,0,0
422,1,0
423,1,0
424,1,0
425,0.666667,0.333333
426,0.333333,0.333333
427,1,0
428,0.666667,0.333333
429,1,0
430,0.333333,0.333333
431,1,0
432,1,0
433,1,0
434,0.666667,0.333333
435,0.666667,0.333333
436,0.333333,0.333333
437,1,0
438,0.666667,0.333333
439,0.666667,0.333333
440,1,0
441,1,0
442,1,0
443,0.666667,0.333333
444,0.666667,0.333333
445,1,0
446,0.666667,0.333333
447,1,0
448,0.666667,0.333333
449,0.333333,0.333333
450,0.666667,0.333333
451,0.666667,0.333333
452,0.666667,0.333333
453,0.333333,0.333333
454,1,0
455,1,0
456,1,0
457,0.666667,0.333333
458,0.333333,0.333333
459,0.666667,0.333333
460,1,0
461,1,0
462,1,0
463,0.333333,0.333333
464,0.333333,0.333333
465,1,0
466,1,0
467,0.333333,0.333333
468,1,0
469,0.666667,0.333333
470,0.333333,0.333333
471,0.666667,0.333333
472,1,0
473,1,0
474,1,0
475,0.666667,0.333333
476,0.666667,0.333333
477,1,0
478,1,0
479,1,0
480,1,0
481,1,0
482,0.666667,0.333333
483,0.666667,0.333333
484,0.666667,0.333333
485,1,0
486,1,0
487,1,0
488,1,0
489,0.666667,0.333333
490,0.666667,0.333333
491,1,0
492,0.666667,0.333333
493,0.666667,0.333333
494,0.666667,0.333333
495,0.333333,0.333333
496,0.666667,0.333333
497,1,0
498,0.666667,0.333333
499,0.666667,0.333333
500,1,0
501,0.666667,0.333333
502,1,0
503,0.666667,0.333333
504,0.666667,0.333333
505,0.666667,0.333333
506,1,0
507,1,0
508,0.333333,0.333333
509,0.333333,0.333333
510,1,0
511,1,0
512,0.666667,0.333333
513,0.666667,0.333333
514,0.333333,0.333333
515,1,0
516,1,0
517,1,0
518,1,0
519,0.333333,0.333333
520,1,0
521,1,0
522,0.333333,0.333333
523,0.333333,0.333333
524,0.666667,0.333333
525,1,0
526,0.333333,0.333333
527,1,0
528,1,0
529,0.666667,0.333333
530,0.666667,0.333333
531,0.666667,0.333333
532,1,0
533,1,0
534,1,0
535,0.666667,0.333333
536,1,0
537,1,0
538,1,0
539,0.333333,0.333333
540,0.666667,0.333333
541,1,0
542,0.666667,0.333333
543,0,0
