Episode,Average Discounted Return,Standard Error
4,-5341.05,289.7
9,-1588.56,103.78
14,-1037.2,44.8304
19,-808.852,29.6289
24,-657.524,22.6563
29,-563.554,18.0566
34,-498.088,15.5035
39,-436.714,11.4303
44,-409.128,10.9234
49,-376.998,9.96387
54,-352.806,8.17864
59,-331.508,7.35409
64,-311.204,6.78938
69,-303.184,6.35273
74,-284.506,5.88932
79,-276.544,5.7207
84,-268.218,5.20556
89,-260.154,5.01726
94,-252.126,4.76977
99,-251.744,4.89615
104,-243.976,4.71223
109,-236.446,4.54546
114,-229.958,4.40967
119,-225.266,4.24648
124,-220.578,4.03644
129,-220.556,3.94606
134,-213.358,3.72526
139,-215.682,3.89355
144,-212.306,3.59123
149,-210.178,3.87919
154,-204.736,3.37603
159,-204.084,3.48759
164,-201.82,3.45872
169,-200.656,3.26845
174,-197.15,3.20829
179,-196.744,3.20409
184,-195.994,3.42778
189,-194.364,3.27204
194,-194.212,3.30347
199,-192.138,3.39708
204,-193.38,3.33676
209,-188.934,3.25519
214,-188.726,3.17586
219,-185.232,3.125
224,-185.164,3.43374
229,-187.324,3.32425
234,-183.046,3.16321
239,-182.536,3.22085
244,-180.43,3.10077
249,-183.08,3.10339
254,-176.986,3.01873
259,-180.17,3.22252
264,-180.202,3.05936
269,-176.444,2.94239
274,-176.572,2.95741
279,-174.664,2.90378
284,-175.032,2.89179
289,-172.586,2.63125
294,-174.554,2.97288
299,-171.38,2.82057
304,-171.94,2.67621
309,-169.822,2.68462
314,-171.48,2.69247
319,-172.016,2.70054
324,-172.426,2.58398
329,-170.86,2.6121
334,-169.522,2.31142
339,-170.542,2.48398
344,-169.518,2.24775
349,-170.15,2.35352
354,-171.192,2.29192
359,-169.472,2.17177
364,-169.18,2.09856
369,-169.498,2.16836
374,-168.624,2.13875
379,-168.778,2.17033
384,-171.654,2.16784
389,-168.778,2.15543
394,-169.034,1.99531
399,-169.168,2.01123
404,-167.938,1.81809
409,-169.802,1.75605
414,-168.306,1.66766
419,-168.924,1.76611
424,-168.784,1.75753
429,-168.126,1.63562
434,-169.026,1.75527
439,-168.224,1.63606
444,-168.682,1.69869
449,-167.548,1.5855
454,-166.336,1.46566
459,-167.844,1.36914
464,-168.908,1.34729
469,-167.488,1.55458
